,pred_minute,mean_rel_err,std_rel_err
0,0.0,0.06097,0.1633
1,10.0,0.0755,0.1818
2,20.0,0.0804,0.2031
3,30.0,0.07697,0.2372
4,40.0,0.0781,0.2491
5,50.0,0.0818,0.264
