,pred_minute,mean_rel_err,std_rel_err
0,0.0,0.073,0.13
1,10.0,0.07245,0.13
2,20.0,0.0796,0.1444
3,30.0,0.0891,0.1627
4,40.0,0.0904,0.1699
5,50.0,0.10034,0.1881
