,pred_minute,mean_rel_err,std_rel_err
0,0.0,0.09625,0.1456
1,10.0,0.1034,0.1527
2,20.0,0.1081,0.1787
3,30.0,0.10724,0.1915
4,40.0,0.1094,0.2151
5,50.0,0.12366,0.2131
6,60.0,0.1382,0.243
7,70.0,0.1527,0.2257
8,80.0,0.1586,0.2374
9,90.0,0.1562,0.253
10,100.0,0.1499,0.2847
11,110.0,0.1517,0.344
