,pred_minute,mean_rel_err,std_rel_err
0,0.0,0.05817,0.1871
1,10.0,0.06494,0.1818
2,20.0,0.0712,0.2076
3,30.0,0.07196,0.2212
4,40.0,0.08075,0.2172
5,50.0,0.0888,0.2228
6,60.0,0.09436,0.2678
7,70.0,0.108,0.2507
8,80.0,0.1136,0.2372
9,90.0,0.11554,0.2734
10,100.0,0.1214,0.2803
11,110.0,0.1295,0.33
